"Knik-Fairview","AK","Matanuska-Susitna Borough
 ",-1,-1,-1,14923,0.10,0.32,0.06,0.48,0.84,0.01,0.05,0.01,0.00,0.07,0.04,0.82,0.87,0.03,0.08,0.91,0.18,1416,35.60,0.85,0.07,203300,4549,2.99,28604,77280,0.08,220,"S",-1,-1,-1,-1,-1,83.10,179.60,40645,41927,39210,2717,6.50,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Kodiak","AK","Kodiak Island Borough
 ",6256,6130,0.02,6130,0.08,0.27,0.09,0.48,0.40,0.01,0.10,0.37,0.01,0.06,0.09,0.37,0.72,0.28,0.37,0.89,0.24,670,9.30,0.42,0.48,197000,2102,2.82,25986,58670,0.15,1368,"S",-1,57478,-1,-1,21977,3.49,1758.00,40950,7085,6725,360,5.10,1,0,4,0,2,6,0,0,1559,31,204,,,15,,3,2,-1,-1,-1,-1
"Lakes","AK","Matanuska-Susitna Borough
 ",-1,-1,-1,8364,0.06,0.29,0.08,0.49,0.85,0.01,0.05,0.01,0.00,0.07,0.04,0.83,0.79,0.02,0.06,0.97,0.25,1403,30.20,0.77,0.15,235500,3350,2.76,35428,84012,0.06,411,0.21,-1,-1,13618,-1,-1,12.57,665.70,42832,41927,39210,2717,6.50,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Meadow Lakes ","AK","Matanuska-Susitna Borough
 ",-1,-1,-1,7570,0.08,0.29,0.07,0.47,0.85,0.01,0.06,0.01,0.00,0.06,0.03,0.83,0.83,0.04,0.06,0.90,0.10,697,32.20,0.84,0.11,199100,2451,2.54,27503,60875,0.13,-1,-1,-1,-1,-1,-1,-1,75.22,100.60,47735,41927,39210,2717,6.50,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Palmer","AK","Matanuska-Susitna Borough
 ",6122,5937,0.03,5937,0.08,0.29,0.10,0.51,0.79,0.02,0.09,0.01,0.00,0.08,0.05,0.76,0.80,0.02,0.07,0.92,0.22,545,28.70,0.63,0.29,180700,1994,2.70,24267,59484,0.11,1783,0.27,-1,44129,140302,18057,17428,5.15,1152.10,58660,41927,39210,2717,6.50,1,0,1,1,2,6,0,0,1559,27,249,,,15,,3,2,-1,-1,-1,-1
"Sitka","AK","Sitka City and Borough
 ",8952,8881,0.01,8881,0.07,0.24,0.11,0.50,0.65,0.01,0.17,0.06,0.00,0.10,0.05,0.64,0.80,0.07,0.12,0.93,0.35,835,10.90,0.54,0.26,315200,3632,2.35,32451,69798,0.07,1938,0.16,-1,-1,94916,10875,27072,2870.34,3.10,70540,4407,4205,202,4.60,2,0,3,1,2,6,0,0,1559,18,269,,,17,,3,2,-1,-1,-1,-1
"Steele Creek","AK","Fairbanks North Star Borough
 ",-1,-1,-1,6662,0.06,0.25,0.07,0.49,0.87,0.01,0.04,0.01,0.00,0.06,0.03,0.86,0.86,0.04,0.06,0.95,0.33,722,20.70,0.88,0.03,230800,2313,2.76,34949,82820,0.01,-1,-1,-1,-1,-1,-1,-1,92.84,71.80,72985,47675,45304,2371,5.00,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Sterling","AK","Kenai Peninsula Borough
 ",-1,-1,-1,5617,0.05,0.22,0.13,0.47,0.90,0.00,0.04,0.01,0.00,0.04,0.03,0.88,0.88,0.01,0.03,0.94,0.22,707,21.60,0.86,0.02,229500,2262,2.40,33942,68080,0.07,-1,-1,-1,-1,-1,-1,-1,77.76,72.20,73070,27251,25317,1934,7.10,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Tanaina","AK","Matanuska-Susitna Borough
 ",-1,-1,-1,8197,0.08,0.32,0.05,0.49,0.86,0.01,0.05,0.01,0.00,0.06,0.05,0.83,0.81,0.09,0.13,0.92,0.18,821,31.20,0.83,0.10,212200,2898,3.24,25971,69661,0.13,-1,-1,-1,-1,-1,-1,-1,30.38,269.80,75077,41927,39210,2717,6.50,0,0,,0,2,6,0,0,1559,-1,-1,,,-1,,3,2,-1,-1,-1,-1
"Wasilla","AK","Matanuska-Susitna Borough
 ",8092,7831,0.03,7831,0.09,0.29,0.10,0.50,0.83,0.01,0.05,0.02,0.00,0.07,0.04,0.81,0.80,0.05,0.08,0.91,0.21,859,29.60,0.55,0.40,217900,3101,2.46,29006,53433,0.13,3653,0.23,-1,70389,638596,65598,59283,12.38,632.50,83080,41927,39210,2717,6.50,0,0,3,3,2,6,0,0,1559,75,416,,,24,,3,2,-1,-1,-1,-1
