"Kimberly","WI","Outagamie County
 ",6508,6468,0.01,6468,0.07,0.24,0.16,0.51,0.94,0.01,0.01,0.02,0.00,0.01,0.02,0.93,0.88,0.02,0.04,0.93,0.21,638,17.20,0.77,0.23,130000,2885,2.24,25231,44504,0.12,418,"S",761398,156536,40163,6269,11890,2.26,2858.20,39650,98862,93777,5085,5.10,0,0,,1,10,19,7.75,5,1573,-1,-1,,,-1,,14,41,-1,-1,-1,-1
"Kronenwetter","WI","Marathon County
 ",7229,7210,0.00,7210,0.07,0.27,0.10,0.50,0.95,0.00,0.00,0.04,0.00,0.01,0.01,0.94,0.92,0.02,0.04,0.93,0.32,408,20.70,0.84,0.12,165700,2486,2.81,26778,72655,0.04,"S","S",-1,-1,-1,-1,832,51.70,139.40,40550,73517,69366,4151,5.60,0,0,,0,10,19,7.75,5,1573,5,60,,,6,,14,41,-1,-1,-1,-1
"La Crosse","WI","La Crosse County
 ",51719,51320,0.01,51320,0.05,0.16,0.13,0.52,0.90,0.02,0.01,0.05,-1,0.02,0.02,0.89,0.72,0.04,0.07,0.92,0.27,3647,15.50,0.51,0.42,126800,21457,2.18,21383,38287,0.23,3055,0.27,1438552,2645135,1015341,19946,142906,20.52,2501.50,40775,67278,64330,2948,4.40,2,0,,2,10,19,7.75,5,1573,189,1837,,,93,,14,41,-1,-1,-1,-1
"Lake Geneva","WI","Walworth County
 ",7679,7651,0.00,7651,0.06,0.23,0.17,0.53,0.88,0.01,0.00,0.02,-1,0.02,0.17,0.80,0.75,0.16,0.23,0.82,0.31,407,23.90,0.49,0.44,194300,3318,2.29,26181,46220,0.16,1460,0.23,-1,111479,273613,34006,122360,6.54,1169.20,41450,56110,52936,3174,5.70,0,0,,0,10,19,7.75,5,1573,12,411,,,22,,14,41,-1,-1,-1,-1
"Lake Hallie","WI","Chippewa County
 ",6486,6448,0.01,6448,0.08,0.26,0.10,0.49,0.94,0.01,0.01,0.02,0.00,0.02,0.02,0.93,0.82,0.03,0.04,0.89,0.21,731,19.20,0.67,0.15,160300,2331,2.69,25235,59129,0.09,432,"S",-1,9765,49484,8417,861,14.09,457.50,41525,32845,31199,1646,5.00,0,0,,0,10,19,7.75,5,1573,14,254,,,6,,14,41,-1,-1,-1,-1
"Lake Mills","WI","Jefferson County
 ",5726,5708,0.00,5708,0.07,0.25,0.14,0.51,0.96,0.01,0.00,0.01,0.00,0.01,0.04,0.94,0.84,0.03,0.05,0.94,0.33,580,26.70,0.60,0.34,179000,2439,2.29,29291,55767,0.08,756,"S",-1,153308,53797,9942,6175,4.06,1407.00,41675,41723,39291,2432,5.80,0,0,,1,10,19,7.75,5,1573,9,93,,,10,,14,41,-1,-1,-1,-1
"Little Chute","WI","Outagamie County
 ",10514,10449,0.01,10449,0.07,0.25,0.12,0.50,0.95,0.01,0.01,0.01,-1,0.01,0.03,0.94,0.91,0.02,0.04,0.91,0.21,703,19.20,0.69,0.24,142700,4052,2.57,25973,55379,0.09,614,0.20,605833,101078,56267,5087,11451,5.16,2023.40,44950,98862,93777,5085,5.10,0,0,,0,10,19,7.75,5,1573,-1,-1,,,-1,,14,41,-1,-1,-1,-1
"Madison","WI","Dane County
 ",236901,233209,0.02,233209,0.06,0.18,0.10,0.51,0.79,0.07,0.00,0.07,-1,0.03,0.07,0.76,0.72,0.11,0.15,0.95,0.53,12258,19.00,0.51,0.50,219600,99512,2.21,30595,54093,0.18,18693,0.29,2418297,2321341,4103644,17937,595323,76.79,3037.00,48000,300599,288660,11939,4.00,5,0,12,33,10,19,7.75,5,1573,853,7884,,,443,,14,41,-1,17,8,-1
"Manitowoc","WI","Manitowoc County
 ",33545,33735,-0.01,33736,0.06,0.22,0.19,0.52,0.90,0.01,0.01,0.05,-1,0.02,0.05,0.88,0.89,0.04,0.09,0.89,0.19,2974,16.10,0.66,0.32,108400,14703,2.23,24687,42417,0.11,1973,0.25,1995179,170821,529366,16060,57354,17.63,1913.70,48500,43874,41115,2759,6.30,1,0,,1,10,19,7.75,5,1573,47,655,,,64,,14,41,-1,-1,-1,-1
"Marinette","WI","Marinette County
 ",10943,10968,0.00,10968,0.06,0.22,0.18,0.52,0.97,0.00,0.01,0.01,0.00,0.01,0.01,0.96,0.90,0.02,0.04,0.90,0.15,907,12.60,0.68,0.25,79100,5378,2.00,22141,39095,0.16,984,"S",1331525,-1,174197,16269,21950,6.83,1607.00,49300,21701,20345,1356,6.20,1,0,,3,10,19,7.75,5,1573,13,463,,,23,,14,41,-1,-1,-1,-1
